id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;transition_learning_rate;mixing_weight_low_stable;mixing_weight_high_stable;mixing_weight_low_variable;mixing_weight_high_variable;fai_decay_wm;choice_stickiness;response_stickiness
12-002;0.528767585433133;0.875762067738072;0.587287980182328;0.785516154450006;0.731837561554601;0.427822807726967;0.689380723844021;0.786741695257208;0.555816055576341;0.430332477981431;0.0867366623443249
12-003;0.377941565340754;0.788776205182762;0.803878593163889;0.665964390906632;0.634113321487546;0.521566680084174;0.468439073265984;0.623083082693895;0.658898578878078;0.894413895082292;-0.832775552012038
12-004;1.6116577495688;0.0874585700270537;0.632492328352419;0.818299479598566;0.72633854691741;0.881677244097188;0.286837689308815;0.22543143723711;0.285159504286016;0.151232318639006;-0.150412545091869
12-005;1.0882216682816;0.0351917402149014;0.383153883128676;0.844801688439779;0.726334495546553;0.82305784040031;0.287331050209088;0.3566497099915;0.390572804007685;0.710433630780317;-0.0914208229769637
12-008;0.826677352301335;0.764832822768071;0.505279384636261;0.532016780066418;0.688395438582612;0.756776045347082;0.413726543321399;0.617077929364652;0.337546267811701;0.839028815363972;-0.735656285658435
12-009;0.459666995627088;0.137938446002616;0.239381790505176;0.666299514933909;0.188709596251623;0.15951051033814;0.0478753488233108;0.786213842460979;0.693794598034465;-0.401951041563277;-0.101870164306343
12-010;0.717400020196635;0.769492185253727;0.816468144898064;0.117249074946591;0.508713618477617;0.4137108466077;0.666692706839111;0.487160182394357;0.351804932716103;1.06697322064437;-0.0071346330110993
12-011;0.619602369041299;0.065324958887104;0.565122315625484;0.825898927668526;0.0878382758195891;0.231568962316631;0.682411530882324;0.750900054780483;0.719213145557028;0.322083367993302;-0.0149289186002526
12-016;0.379813698876335;0.81884664010711;0.402979374929184;0.0730623718102487;0.429705301415048;0.246905539749281;0.640474326533396;0.535830141656818;0.699792724589041;1.46498612566387;-0.596776635343285
12-022;0.609930511551414;0.551652492270153;0.753536337118229;0.353130916807226;0.46782113089205;0.518905132041045;0.773667316764264;0.685521603949381;0.761178886087452;1.09745234989416;0.044669740453923
12-023;1.29380874418026;0.0550626905110758;0.371566157820812;0.883366508361794;0.755365353481169;0.859380316383388;0.503899319537716;0.430137994231259;0.399099556130343;0.276727171262349;-0.00540302732748493
12-026;0.746309881042465;0.354702983571439;0.833255255807267;0.806820812077804;0.339103450212915;0.599160999396717;0.813883246089195;0.803735335000605;0.424767397825507;0.549077288984585;0.246040071069904
12-027;0.877644557508369;0.880958513062547;0.484817503962333;0.637434914861823;0.849692816862447;0.84836078380495;0.460064002406463;0.538159056679781;0.382835813716202;0.540742660830725;0.162922248498427
12-029;1.78294578125371;0.0380575896305619;0.198469562014481;0.812635596220219;0.826046188997502;0.873993757553302;0.405971338279487;0.345864715028393;0.284390213363475;0.71815678432071;-0.0391008615597334
12-032;0.78048887207594;0.80086983553572;0.466771780213127;0.844523277686253;0.901986511494428;0.891744074048402;0.591579324762107;0.730296222033944;0.368186056230788;0.624332746771722;-0.164934042080405
12-033;0.669700409052291;0.83439788360294;0.762302080743711;0.219768643294662;0.740789298504596;0.630682217431199;0.395910387640593;0.458167461409933;0.254701695790895;0.359499727416042;-0.0992074898981717
12-036;0.67880592663465;0.625944418109396;0.546651845093514;0.624052365731371;0.723664845977254;0.790620658850087;0.602954152198592;0.729803643831084;0.204366359644971;0.865346907381884;0.17717761764916
12-037;0.193301319375297;0.44673027466563;0.416443316574043;0.381349994221798;0.259154440741163;0.69631546931375;0.353538590777409;0.546644238976206;0.5623052797464;-1.04369564427168;1.00343193003895
12-043;1.58529308070402;0.0391128499260203;0.371620551860268;0.774580672700854;0.504265018378699;0.865241167245721;0.650546906520277;0.79154341176538;0.462872934463502;-0.357302932953359;-0.0439458407129162
12-044;1.0500888847965;0.0772001633237536;0.370390140295666;0.774776011206878;0.465686088785986;0.813960104687987;0.546010710892466;0.69976156690772;0.562107361571769;0.0646620716973465;0.0349944106197099
