id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;transition_learning_rate;mixing_weight_low_stable;mixing_weight_high_stable;mixing_weight_low_variable;mixing_weight_high_variable;fai_decay_wm;choice_stickiness;response_stickiness
12_001;0.787921606337771;0.0223502589822507;0.310293654996543;0.276480032857378;0.608378024967797;0.803361412424548;0.276137901446154;0.322664463038022;0.43279978933129;0.293305217219267;-0.330076179957883
12_002;1.15911510857361;0.0381064477776423;0.0531986389454578;0.647465323240057;0.0108181014343493;0.867104768436113;0.0145882265245418;0.360208249678764;0.244911245161794;0.242917552462447;-0.148665438984829
12_003;0.82041328396472;0.205006225614077;0.356087452789362;0.773339834291231;0.49930671039733;0.921277870288863;0.538823988686604;0.437037465147087;0.402785694725205;0.243490413230067;-0.109077575784075
12_004;1.19952866067826;0.035887426686955;0.238131437674244;0.777396191183331;0.80766647877562;0.761354628423911;0.31285473380287;0.536364525377264;0.216502886746317;0.238475051078008;0.070541546031535
12_012;0.812237759418927;0.851866271588018;0.817993388206639;0.801064054285939;0.841203657075242;0.661189460417862;0.579527672199063;0.722782949918226;0.237043640112796;0.895117984701334;0.10259221250071
12_013;1.42672601500165;0.0492579537552617;0.195493019703077;0.833355213056097;0.604043644245633;0.879408107269291;0.531316189511372;0.386213016779886;0.260485950431987;0.521209778245689;-0.00780679380599362
12_019;0.766731603989048;0.0297139759963483;0.433906889933807;0.205077125769064;0.130387628463565;0.800028539092343;0.203854999672046;0.739008823842362;0.281673383678245;0.126410458424658;0.0102607291670604
12_023;1.00980681673076;0.724207002054116;0.226935989433531;0.739347052451294;0.827914511422924;0.831485013788497;0.788968972655138;0.639682937628732;0.224471018016441;1.09962060521804;0.179168293343673
12_024;0.578605833767718;0.843226515348426;0.309800778185153;0.706859892760791;0.681102645834355;0.560071191836818;0.559770177205958;0.541213679457053;0.135657779746374;1.27825988283206;-0.370551227295677
12_025;0.477956000727183;0.0879893439767954;0.382782531527001;0.575686189554113;0.113758556500067;0.480859386725754;0.755258426898415;0.733715607396144;0.236751090343996;0.577998099131553;-0.503090759143608
12_026;0.81547092610302;0.881090764403934;0.648047436612225;0.796260667838012;0.93647610784233;0.766372952903045;0.885971596713432;0.521522709364519;0.483523034428988;0.257347473912212;0.0310460672362986
12_027;0.851899452553348;0.110791891444542;0.134487170785166;0.672922401255241;0.308412763608855;0.852523824722633;0.133194347656765;0.414801747453659;0.316373659804593;0.205729225320883;0.102892178138436
12_028;0.511580004026942;0.0268782292280984;0.287508589705845;0.730191767093211;0.0374012314037997;0.577985686735037;0.0382639784622432;0.74644178058453;0.451145626841744;0.146801483012788;-0.0026672021977664
12_030;0.555568346256828;0.0423697941681599;0.248966574273931;0.624954706971776;0.10826949411757;0.661732771261706;0.174956467177236;0.717262341976351;0.0982314707057868;-0.731302543139198;-0.00690855092980576
12_031;1.05250371010026;0.8476123790812;0.801303077649756;0.610746421150372;0.653082813718117;0.604655867523101;0.904101531071446;0.661296620964328;0.357957242407078;0.741005836931926;-0.0815617566697824
12_033;0.335732871814181;0.0499867835776447;0.500311271908598;0.677545315152619;0.109394887856086;0.660234259271175;0.151408966304257;0.576778378121969;0.501269797148574;0.139053148998556;-0.50693298287353
12_034;1.12240264071339;0.719363820265056;0.665200291309262;0.863767539394703;0.755087415028565;0.923348929928634;0.749845317054928;0.87330941939195;0.362184448512699;-0.243033285834669;-0.231008769663863
12_036;0.821333613331014;0.102238371239314;0.373130367831389;0.807147360272343;0.799044651709893;0.649008538019286;0.416714956772355;0.654354271147818;0.426205036850127;0.713625437708652;-0.250790348879369
12_040;1.62565048150811;0.0392351337730296;0.335119290789703;0.864603021545932;0.585071398168928;0.797554888325401;0.800358397095229;0.794761801214143;0.4058112110656;0.710726675790867;0.0894747154738671
12_042;0.795943649154509;0.799308087760701;0.836438691316242;0.435944710666057;0.842445074466693;0.869045965908702;0.46159282373606;0.479133880579096;0.270658170116411;-0.070574751855033;-0.219314925558757
12_045;1.08584862541864;0.0450897641078471;0.272523911212727;0.761570462861968;0.268807663692156;0.408281395200691;0.269239852637454;0.670461151265762;0.28040904621154;-0.0193889668514004;0.0850661600350512
12_046;0.739851299715121;0.112587092663272;0.138509104205812;0.430870661141008;0.0181395088839666;0.864267071670397;0.108998774021603;0.342501141733255;0.347060951086703;0.217200154998108;-0.406281185939414
12_048;0.527945850035199;0.862460477767745;0.350700556224762;0.716357389808861;0.671553153476529;0.62923933307489;0.483731753445788;0.530100001829007;0.131369995426415;0.212190354068464;-0.703751182048432
12_049;1.25763104625669;0.0296656730638005;0.330977369968449;0.24872153207396;0.665959397394856;0.884255348883123;0.34404281621694;0.518186742187606;0.24529664400171;0.0731331746301482;0.18470112133607
12_051;1.23801759881146;0.0955815654428773;0.59472491907609;0.498787043681755;0.426946140577183;0.665461862818164;0.375741801865308;0.557659332034189;0.497370487759487;0.115265626196716;-0.110247536659227
12_052;1.18910946290172;0.354856771463805;0.539794615867264;0.752478710353837;0.569730176979214;0.706402349123994;0.671793166438656;0.624083096326956;0.6208210289858;0.0728717366602831;-0.0214604704977808
12_053;1.98135345310255;0.610133561256708;0.218597020901453;0.886072611856352;0.773884100353147;0.888363043813633;0.743637428744819;0.888199241693965;0.352538923285818;0.239636467313062;-0.0771440172207776
12_054;0.758244732797511;0.0519115523317808;0.1825471939104;0.775212707194706;0.058352238445287;0.613720609855368;0.183466217498918;0.813130453541803;0.222308682905272;1.29268856307968;-0.0149882815810584
12_057;1.10254155500253;0.0545560167121503;0.156613799643437;0.362491466504439;0.705357602438306;0.51728619279046;0.202563140969893;0.329174930291689;0.0232141094203904;0.351941397124064;-0.0284792875252284
12_059;0.769826292634591;0.28366596380539;0.337144429927967;0.829758934716905;0.702182786402792;0.860988130058583;0.567349671524895;0.713731011428105;0.5865454190138;0.0703917471939851;-0.218733520954625
12_070;1.22268255340798;0.0678925682020396;0.414817704519248;0.299398635532605;0.587225768087365;0.779417762360108;0.405456673135072;0.705407466287649;0.41837980506152;0.175247114737725;0.113196070249837
12_071;0.575377589627213;0.88942453728669;0.871965346123377;0.684193462518347;0.292795172479867;0.534793989341231;0.561705135672513;0.420455657152039;0.582462707442875;0.0586392903401191;-0.0112713098003442
12_072;0.656577422319535;0.0852090395204362;0.147140899126848;0.71643190815897;0.110901175547764;0.5744311602634;0.117695371032493;0.807881440492074;0.588555731529254;0.183789714147129;-0.0970617024144077
12_073;1.17592285514503;0.050949106170085;0.264041935769599;0.855445638684797;0.730702003558446;0.709811649153209;0.684402526938048;0.512508917626558;0.311616069313343;0.793620060691371;-0.22255999948084
12_074;1.36662272780103;0.462097519987778;0.190945849308394;0.428257978821512;0.879634475576985;0.834722266049983;0.716401403224212;0.638036606128767;0.428367146772737;0.620162760304299;-0.0788897491526217
12_075;0.915419454738047;0.208308309801268;0.566246428099194;0.427784872587587;0.605645265027014;0.889855200808466;0.524327056037656;0.674707050066892;0.500558898445182;-0.269038743466013;-0.0226464759329034
12_076;0.900596603823223;0.752348296553199;0.570357407815454;0.850868600545123;0.88891048231135;0.855018284793063;0.746869669926827;0.779256352218107;0.505813591459299;-0.365298215964114;0.0600276140588644
12_078;0.780870414950544;0.570360335955606;0.499515342556221;0.685952610844109;0.839766949351796;0.730290855857172;0.610363072524869;0.648120648089035;0.350754060772147;0.506799573480883;-0.332199693510015
12_079;1.05886474101191;0.0822400005584458;0.205336606564022;0.465959478442635;0.30996565918356;0.884650799190113;0.246609444382277;0.54354432609735;0.39301916314493;-0.391053765451554;-0.241984342064838
12_080;0.638657584239127;0.0636022257869952;0.255567360385486;0.175378145026892;0.171563404707679;0.802918369346659;0.144272789602775;0.138465353615365;0.174660433899372;0.0522551450321803;-0.991765723925948
12_081;1.24661189584708;0.03975884280287;0.335729913031406;0.79291177812927;0.330593842450733;0.823333529455874;0.652236339387951;0.653010111674593;0.254281702827907;-0.1250746839331;-0.0599373090597199
12_082;0.940058262070748;0.821874970171843;0.763558420214359;0.327301739553607;0.506278664776073;0.47731890085862;0.307192021961625;0.272397126141261;0.420469407556084;-0.100964757137984;-0.00544734735595756
12_083;0.546473183973214;0.882659279456508;0.307965194498154;0.465754995988854;0.814897125463302;0.775193874111732;0.616793269358731;0.463758007030785;0.343019581603223;0.993690172334953;-0.134782788469805
12_084;1.04223661589855;0.0582892959907563;0.152368784899471;0.768444823618896;0.0181831127551007;0.814524273470529;0.0274474812044057;0.548477439938063;0.278207182311658;0.0909861945367542;-0.270700962601263
